country,date,confirmed,deaths
Italy,2020-01-31,2,0
Italy,2020-02-01,0,0
Italy,2020-02-02,0,0
Italy,2020-02-03,0,0
Italy,2020-02-04,0,0
Italy,2020-02-05,0,0
Italy,2020-02-06,0,0
Italy,2020-02-07,1,0
Italy,2020-02-08,0,0
Italy,2020-02-09,0,0
Italy,2020-02-10,0,0
Italy,2020-02-11,0,0
Italy,2020-02-12,0,0
Italy,2020-02-13,0,0
Italy,2020-02-14,0,0
Italy,2020-02-15,0,0
Italy,2020-02-16,0,0
Italy,2020-02-17,0,0
Italy,2020-02-18,0,0
Italy,2020-02-19,0,0
Italy,2020-02-20,0,0
Italy,2020-02-21,17,1
Italy,2020-02-22,42,0
Italy,2020-02-23,93,0
Italy,2020-02-24,74,3
Italy,2020-02-25,93,-1
Italy,2020-02-26,131,-1
Italy,2020-02-27,202,3
Italy,2020-02-28,233,-1
Italy,2020-02-29,240,4
Italy,2020-03-01,566,-3
Italy,2020-03-02,342,13
Italy,2020-03-03,466,9
Italy,2020-03-04,587,1
Italy,2020-03-05,769,13
Italy,2020-03-06,778,8
Italy,2020-03-07,1247,-13
Italy,2020-03-08,1492,97
Italy,2020-03-09,1797,-36
Italy,2020-03-10,977,71
Italy,2020-03-11,2313,28
Italy,2020-03-12,0,-196
Italy,2020-03-13,5198,439
Italy,2020-03-14,3497,-264
Italy,2020-03-15,3590,193
Italy,2020-03-16,3233,-19
Italy,2020-03-17,3526,-4
Italy,2020-03-18,4207,130
Italy,2020-03-19,5322,-48
Italy,2020-03-20,5986,200
Italy,2020-03-21,6557,166
Italy,2020-03-22,5560,-142
Italy,2020-03-23,4789,-50
Italy,2020-03-24,5249,142
Italy,2020-03-25,5210,-60
Italy,2020-03-26,6203,29
Italy,2020-03-27,5909,207
Italy,2020-03-28,5974,-30
Italy,2020-03-29,5217,-133
Italy,2020-03-30,4050,56
Italy,2020-03-31,4053,25
Italy,2020-04-01,4782,-110
Italy,2020-04-02,4668,33
Italy,2020-04-03,4585,6
Italy,2020-04-04,4805,-85
Italy,2020-04-05,4316,-156
Italy,2020-04-06,3599,111
Italy,2020-04-07,3039,-32
Italy,2020-04-08,3836,-62
