country,week,confirmed
Italy,5,0.002
Italy,6,0.001
Italy,7,0
Italy,8,0.319
Italy,9,2.18
Italy,10,7.647
Italy,11,21.357
Italy,12,37.67
Italy,13,36.616
Italy,14,29.794
Italy,15,26.902
Italy,16,21.469
Italy,17,17.548
Italy,18,11.508
Italy,19,8.203
Italy,20,5.483
Italy,21,3.856
Italy,22,2.96
Italy,23,2.046
Italy,24,1.939
Italy,25,1.333
Italy,26,1.745
Italy,27,1.378
Italy,28,1.388
Italy,29,1.408
Italy,30,1.736
Italy,31,1.931
Italy,32,2.818
Italy,33,3.399
Italy,34,6.538
Italy,35,9.015
Italy,36,9.964
Italy,37,9.837
Italy,38,10.907
Italy,39,12.114
Italy,40,12.318
