country,week,confirmed
Portugal,9,0.002
Portugal,10,0.039
Portugal,11,0.407
Portugal,12,1.914
Portugal,13,5.081
Portugal,14,4.999
Portugal,15,5.006
Portugal,16,3.931
Portugal,17,2.943
Portugal,18,1.38
Portugal,19,2.211
Portugal,20,1.519
Portugal,21,1.575
Portugal,22,1.888
Portugal,23,2.411
Portugal,24,2.03
Portugal,25,2.401
Portugal,26,2.404
Portugal,27,2.275
Portugal,28,2.635
Portugal,29,1.847
Portugal,30,1.512
Portugal,31,1.271
Portugal,32,1.264
Portugal,33,1.503
Portugal,34,1.464
Portugal,35,2.331
Portugal,36,2.652
Portugal,37,4.126
Portugal,38,4.642
Portugal,39,5.054
Portugal,40,4.434
